atom_id 	 atom_type 	 (bonded_atom_id, bond_order, arithmetic_avg_stress, absolute_geometric_avg_stress:q!, bond_distance) 
  1889 	   	   1 	  	    (1672 0.941000 1282682.347730 13149927740940.884766 1.545104), (3864 0.929000 2023152.531561 5553983948276.052734 1.585374), (1447 0.917000 1667516.491694 9202194812753.708984 1.618723), (6408 0.925000 1388790.715393 12061439353020.322266 1.597793), 
  1890 	   	   1 	  	    (2647 0.938000 297305.444075 8141858365886.918945 1.555754), (1255 0.922000 671648.797342 5771406584907.907227 1.606486), (5514 0.935000 551037.215947 6535154452821.738281 1.567351), (3 0.946000 382558.511628 7602010966299.429688 1.528454), 
  1891 	   	   2 	  	    (4591 0.926000 815865.692137 8753770692298.101562 1.595532), (235 0.929000 452193.488372 7114889443670.156250 1.585334), 
  1892 	   	   2 	  	    (1574 0.922000 760094.015504 3964967038951.883301 1.604811), (4674 0.913000 891754.418605 4326050799321.798828 1.630783), 
  1893 	   	   2 	  	    (35 0.921000 928125.953488 5605076967866.449219 1.608296), (1126 0.932000 534099.145072 4332524524507.034180 1.576277), 
  1894 	   	   2 	  	    (2345 0.919000 723967.260244 6023209764675.318359 1.613957), (5107 0.918000 990698.458472 7002011621930.704102 1.615430), 
  1895 	   	   2 	  	    (1550 0.943000 1177836.970100 8681045396258.851562 1.538519), (1057 0.930000 771634.817276 7060113063697.029297 1.581467), 
  1896 	   	   2 	  	    (5114 0.942000 1048236.961240 7026674049064.018555 1.541577), (3887 0.925000 960529.745293 6710527270464.044922 1.596475), 
  1897 	   	   1 	  	    (6684 0.942000 585916.734219 5489582992286.240234 1.542103), (358 0.939000 569385.669989 5588804179970.448242 1.551562), (3710 0.939000 428510.201550 6434353571060.735352 1.553746), (3201 0.936000 798566.961240 4213233944678.288574 1.563723), 
  1898 	   	   1 	  	    (2021 0.902000 1182689.399779 4294439979272.397949 1.656590), (936 0.923000 926112.656700 6125746698415.005859 1.601600), (4893 0.943000 1025668.057586 5415173821147.326172 1.540665), (5037 0.931000 626619.331118 8263368888542.738281 1.579780), 
